央视,#genre#
CCTV1,https://live.v1.mk/api/bestv.php?id=cctv1hd8m/8000000
CCTV2,https://live.v1.mk/api/bestv.php?id=cctv2hd8m/8000000
CCTV3,https://live.v1.mk/api/bestv.php?id=cctv38m/8000000
CCTV4,https://live.v1.mk/api/bestv.php?id=cctv4hd8m/8000000
CCTV5,https://live.v1.mk/api/bestv.php?id=cctv58m/8000000
CCTV6,https://live.v1.mk/api/bestv.php?id=cctv6hd8m/8000000
CCTV7,https://live.v1.mk/api/bestv.php?id=cctv7hd8m/8000000
CCTV8,https://live.v1.mk/api/bestv.php?id=cctv8hd8m/8000000
CCTV9,https://live.v1.mk/api/bestv.php?id=cctv9hd8m/8000000
CCTV10,https://live.v1.mk/api/bestv.php?id=cctv10hd8m/8000000
CCTV11,https://live.v1.mk/api/bestv.php?id=cctv11hd8m/8000000
CCTV12,https://live.v1.mk/api/bestv.php?id=cctv12hd8m/8000000
CCTV13,https://live.v1.mk/api/bestv.php?id=cctv13xwhd8m/8000000
CCTV14,https://live.v1.mk/api/bestv.php?id=cctvsehd8m/8000000
CCTV15,https://live.v1.mk/api/bestv.php?id=cctv15hd8m/8000000
CCTV16,https://live.v1.mk/api/bestv.php?id=cctv16hd8m/8000000
CCTV17,https://live.v1.mk/api/bestv.php?id=cctv17hd8m/8000000
CCTV5+,https://live.v1.mk/api/bestv.php?id=cctv5phd8m/8000000
CCTV风云剧场,http://baidu.live.cqccn.com/__cl/cg:live/__c/fyjcHD/__op/default/__f//index.m3u8
CCTV风云音乐,http://baidu.live.cqccn.com/__cl/cg:live/__c/fyyyHD/__op/default/__f//index.m3u8
CCTV风云足球,http://baidu.live.cqccn.com/__cl/cg:live/__c/fyzqHD/__op/default/__f//index.m3u8
CCTV怀旧剧场,http://baidu.live.cqccn.com/__cl/cg:live/__c/hjjcHD/__op/default/__f//index.m3u8
CCTV第一剧场,http://baidu.live.cqccn.com/__cl/cg:live/__c/diyijuchangHD/__op/default/__f//index.m3u8
CCTV兵器科技,http://baidu.live.cqccn.com/__cl/cg:live/__c/bqkjHD/__op/default/__f//index.m3u8
